keyphrase,plan_count,highlight
net zero,168,1
climate change,160,1
reduction,138,
reduce,123,
carbon emissions,101,1
carbon neutral,101,
carbon footprint,98,
reduce emissions,95,
council,90,
paris agreement,87,1
climate emergency,85,
council climate,82,
climate action,72,
enable,65,
transport,63,1
include,60,
footprint,59,
action plan,53,
tree planting,50,1
council emissions,49,
plan,48,
reduce carbon,46,
emissions reduction,45,
council carbon,44,
change act,44,
borough council,43,
change strategy,43,
measures,42,
change,42,
land use,42,1
carbon reduction,42,1
stakeholders,39,
renewable energy,38,1
change action,37,
borough,37,
climate,35,
biodiversity,35,1
energy,35,
uk climate,35,
carbon management,34,1
cycling,34,1
wellbeing,33,
offsetting,33,
change mitigation,32,
council buildings,32,1
energy efficiency,32,1
council recognises,32,
electric vehicle charging,31,
behaviour change,31,
tackling climate,31,
street lighting,30,1
reductions,29,
reduction targets,29,
emergency declaration,27,
carbon,27,
emissions reductions,27,1
scottish government,26,
reduction target,26,
uk government,26,1
uk,25,
council operations,25,
provide,24,
ity,23,
change emergency,23,
report,22,
mitigation,22,
uk emissions,22,
sustainable transport,22,1
public transport,22,1
emissions,22,
district council,22,
consumption,21,
sustainable development goals,21,
zero,21,
tackle climate,21,
sequestration,21,1
national grid,20,
requirements,20,
sustainable development,20,1
renewable energy generation,20,
provision,19,
improve air quality,19,
efficiency measures,19,
achieve carbon,19,
impact assessment,19,
council commitment,19,
dioxide equivalent,19,
change report,18,
enabling,18,
addressing,18,
commits,18,
new developments,18,
sustainability,18,
limit,17,
reduce energy,17,
district heating,17,1
circular economy,17,1
emissions scope,17,1
increase,17,
address climate,17,
councils,17,
consultation,17,
setting,17,
waste reduction,17,1
electric vehicles,17,1
natural capital,17,
green,17,
carbon council,17,
fuel poverty,17,1
carbon neutrality,16,
solar panels,16,1
define,16,
county council,16,
energy management,16,1
waste management,16,1
priority areas,16,
city council,16,
ev charging points,16,
management plan,16,
flood risk,16,1
ensure,16,
air quality,16,1
green infrastructure,15,
initiatives,15,
organisations,15,
additional,15,
heating,15,
gas protocol,15,
may,15,
definition,15,
commitments,15,
extreme weather,15,
active travel,15,
definitions,14,
consider,14,
welsh government,14,
scope emissions,14,
carbon budgets,14,1
electricity grid,14,
impacts,14,
pathways,14,
gas emissions,14,
council activities,14,
road transport,14,
change programme,14,
heating systems,14,1
emergency strategy,14,
executive summary,14,
council housing,14,
paris climate,14,
local transport plan,14,
land management,13,1
borough emissions,13,
building regulations,13,
build,13,
electricity,13,
reduction measures,13,
waste,13,
energy projects,13,
charging points,13,1
change climate,13,
public consultation,13,1
delivering,13,
raise awareness,13,
tonnes carbon dioxide,12,
uk economy,12,
sustainable energy,12,
change agenda,12,
transition,12,
carbon savings,12,
action plans,12,
local plan,12,
business mileage,12,
priority actions,12,
priority,12,
local ity,12,
neutrality,12,
local development plan,12,1
emergency action,12,
next steps,12,
energy strategy,12,
heat pumps,12,1
tonnes,12,
transport emissions,12,
energy bills,12,
climate resilience,12,
wildlife,12,
regeneration,12,
annual basis,12,
significant,12,
council policies,12,
climate adaptation,12,1
offer,12,
change adaptation,12,
carbon sequestration,12,
installation,12,
saving measures,11,
change partnership,11,
greenhouse gas,11,
planting trees,11,1
providing,11,
behavioural change,11,
council environmental,11,
annual,11,
benefits,11,
energy generation,11,
council estate,11,
adapting,11,
key stakeholders,11,
ecological emergency,11,1
uk electricity,11,
feasibility study,11,
anaerobic digestion,11,
framework,11,
environment bill,11,
biodiversity net,11,
step change,11,
declaration,11,
pathway,11,
carbon budget,11,
community engagement,11,
review,11,
pandemic,11,
increase recycling,11,
supporting,11,
change policy,11,
change research,10,
tonnes carbon,10,
modelling,10,
retrofit programme,10,1
indirect emissions,10,
business travel,10,
greenhouse gases,10,
objectives,10,
ecosystem services,10,
operational buildings,10,
foreword,10,
climate strategy,10,
build resilience,10,
clean growth,10,
carbon offsetting,10,
add,10,
scope,10,
defines,10,
external funding,10,
carbon energy,10,
uk average,10,
tackling,10,
sectors,10,
replacement programme,10,
cost savings,10,
develop,10,
public sector,10,
reduction projects,10,
cycling infrastructure,10,
performance certificate,10,
council approach,10,
improve,10,
service provision,10,
well being,10,
average temperature,10,
energy performance,10,
monitoring progress,10,
circular economy principles,10,1
supplementary planning document,10,
set,10,
council plan,9,
transport energy,9,
resilience,9,
dioxide,9,
properties,9,
change issues,9,
baseline,9,
active travel options,9,
council services,9,
reduction plan,9,
reduced carbon emissions,9,
enabling actions,9,
temperature rise,9,
enhance biodiversity,9,
change targets,9,
create,9,
install,9,
other indirect,9,
sea levels,9,1
ensuring,9,
sustainable transport options,9,
strategic approach,9,
implementation plan,9,
sector,9,
upgrading,9,
multiple benefits,9,
